Afore	Trước
outre	ra ngoài
ouvre	yêu tinh
ovals	hình bầu dục
ovary	buồng trứng
ovens	lò nướng
overs	vượt qua
overt	công khai
ovine	noãn
ovism	rụng trứng
ovist	trứng cá
ovoid	hình trứng
ovule	phôi châu
Owain	Sở hữu
Owens	ông chủ
owght	đúng
owing	mắc nợ
owler	con cú
owlet	con cú
owned	sở hữu
owner	chủ nhân
owser	chủ nợ
oxfly	chuồn chuồn
oxide	ôxít
oxids	oxit
ozone	khí quyển
paauw	móng chân
paced	nhịp độ
paces	bước
Pacht	Du thuyền
packs	gói
pacts	hiệp ước
Paddy	Thóc
pagan	người ngoại đạo
paged	phân trang
pager	máy nhắn tin
Pages	Các trang
pagne	trang
pagod	trang
pagus	ngoại đạo
payed	trả tiền
payee	người nhận tiền
payer	người trả tiền
paiks	ghép đôi
pails	thùng
pains	đau đớn
paint	Sơn
payor	người trả tiền
pairs	cặp
pairt	ghép đôi
paise	tấm lát
palch	bàn tay
paled	tái mặt
Paley	Xanh xao
paler	nhạt màu
palet	bảng màu
palmy	xanh xao
palms	lòng bàn tay
palps	bàn tay
palsy	bại liệt
panda	gấu trúc
paned	lát đá
panel	bảng điều khiển
panes	ngăn
pangs	đau đớn
Panic	Hoảng loạn
panty	quần lót
panto	tủ đựng quần áo
pants	quần dài
papal	giáo hoàng
papas	giấy papas
paper	giấy
papyr	giấy cói
pappy	nhõng nhẽo
paras	cây dù
parch	phơi
parde	sự tha thứ
pardy	ân xá
pared	ngang ngửa
parel	quần áo
paren	dấu ngoặc
Parks	Công viên
parle	miếng vải
parly	ngang hàng
parse	phân tích cú pháp
parti	chia tay
party	buổi tiệc
parts	các bộ phận
pases	bình hoa
pasta	mỳ ống
paste	dán
pasty	nhão
pasts	quá khứ
patch	vá
Pater	Cha
pathy	đường mòn
paths	những con đường
patia	hiên nhà
patio	sân trong
patly	nhẹ nhàng
patte	vỗ nhẹ
pause	tạm ngừng
pavan	gian hàng
paved	lát đá
Paver	Thợ lát đá
paves	lát nền
pavis	gian hàng
pawaw	cái cưa
pawed	vót
pawer	người cầm đồ
pawky	vồ vập
pawls	vọc
pawns	con tốt
Peace	Hòa bình
peach	quả đào
peage	cao điểm
peags	hạt đậu
peaky	hơi xanh
peaks	đỉnh cao
peans	hạt đậu
Pearl	Ngọc trai
Pears	Lê
peaty	than bùn
peats	than bùn
peavy	hạt đậu
pecan	quả hồ đào
pecks	mổ
pedal	bàn đạp
pedee	người bán dạo
Peder	Người đi bộ
pedes	bàn đạp
peeke	nhìn trộm
peeks	nhìn trộm
peels	vỏ
peeps	nhìn trộm
Peers	Ngang hàng
peles	pê đê
pelts	viên
penal	hình phạt
pendn	mặt dây chuyền
pends	chờ đợi
penis	dương vật
Penny	Đồng xu
pensy	tiền bạc
penup	bồi thường
Peony	Hoa mẫu đơn
perch	cá rô
perdy	vui đùa
peril	hiểm họa
perky	vui tươi
Perks	Đặc quyền
Perse	Mỗi gia nhập
pesky	phiền hà
pesos	peso
pesto	sốt lá húng
pests	sâu bọ
petal	cánh hoa
petro	Petro
Petty	Nhỏ nhắn
pewit	chim te te
phase	giai đoạn
phies	lừa đảo
phyll	cây cỏ
phyte	thực vật
phone	điện thoại
phony	rởm
photo	hình chụp
phots	phot
piano	đàn piano
pical	buồn cười
picky	kén chọn, khó tính
picks	hái
picry	dã ngoại
piece	mảnh
piety	lòng mộ đạo
Piggy	Heo con
pigly	heo con
piked	chọc ngoáy
piker	người đi đường
pilaf	cơm thập cẩm
pilau	đồ gia vị
pilaw	cơm chiên
pilch	ăn cắp vặt
piled	chất đống
pilei	cọc
piler	người ăn cắp vặt
piles	cọc
pills	thuốc
pilmy	có lông
pylon	cột điện
pilot	Phi công
pilus	tiêm mao
pimps	ma cô
pinch	nhón
pindy	hợp thời trang
piney	cây tùng
piner	cây tùng
Pines	Cây thông
pings	ping
pinky	hồng hào
pinko	màu hồng
pinks	màu hồng
Pinna	Bính âm
Pinon	Pin trên
pints	panh
pinup	bìm bịp
pions	chim bồ câu
pious	ngoan đạo
pipal	pipet
piped	đường ống
pipey	có mùi hôi thối
pipes	đường ống
pipit	pipet
pyres	giàn thiêu
pyric	môn vị
pirog	chim câu
pisky	nhõng nhẽo
piste	đường piste
pitch	sân bóng đá
piths	đường ống
Pitys	Tội nghiệp
pivot	trục
place	địa điểm
plack	sự cố gắng
plage	nhổ lông
plaid	kẻ sọc
plain	đơn giản
plays	vở kịch
plait	tết bện
plane	chiếc máy bay
Plank	Tấm ván
plans	các kế hoạch
plant	thực vật
plash	ao
Plate	Đĩa ăn
platy	thú mỏ vịt
plats	cái đĩa
plaud	plud
plaza	quảng trường
plead	biện hộ
Pleas	Những lời cầu xin
pleat	nếp gấp
plebe	cầu xin
plebs	cầu xin
pleck	cầu xin
pleis	sự cầu xin
plena	lời cầu xin
pleny	cầu xin
pleon	cầu xin
plews	nài nỉ
plied	xếp nếp
plier	cái kìm
plock	khóa
plods	vỏ bọc
ploid	lưỡng bội
plops	làm ơn
plots	âm mưu
plott	bàn vẽ
plows	máy cày
pluck	nhổ lông
pluff	chất dẻo
plugs	phích cắm
plumb	dây dọi
Plume	Lông chim
plumy	màu mận chín
plump	đầy đặn
plums	mận
plush	sang trọng
Pluto	Sao Diêm Vương
pneum	khí nén
poach	săn trộm
pobby	tồi tàn
POBox	Hộp thư
pocky	có gai
pocks	lỗ chân lông
pocul	đăm đăm
pocus	làm nũng
poems	những bài thơ
poesy	bảnh bao
poets	nhà thơ
pogey	vênh váo
poind	làm nũng
Point	Điểm
poise	đĩnh đạc
poked	chọc
poker	xì phé
pokes	chọc
polar	cực
poles	cột điện
polio	bệnh bại liệt
polka	chấm bi
polls	cuộc thăm dò ý kiến
pommy	bã đậu
pomps	chó săn
pondy	trầm tư
ponds	ao
poods	pood
poofy	làm khô
poofs	lông xù
pools	hồ bơi
Poore	Nghèo
poove	cái nghèo
popes	giáo hoàng
poppa	cha
Poppy	Cây thuốc phiện
porch	hiên nhà
pored	miệt mài
porer	người đăm chiêu
pores	lỗ chân lông
poret	chim bìm bịp
porky	như heo
porny	dâm đãng
porno	khiêu dâm
ports	cổng
posed	đặt ra
posey	dáng điệu
poser	người đặt
poses	tư thế
posse	quyền sở hữu
possy	sở hữu
posts	bài viết
potch	cái bô
poter	chăm sóc
potsy	có mùi thơm
potty	bô
pouce	túi đựng
pouch	túi đựng
poucy	túi nhỏ
pouff	cái túi
poufs	túi đựng
poule	túi nhỏ
poulp	chó săn
poult	đổ ra
Pound	Pao
pours	đổ
pousy	có mùi hôi
pouty	bĩu môi
pouts	bĩu môi
POWER	SỨC MẠNH
powny	cường tráng
poxed	bị thương
praya	cầu nguyện
prays	cầu nguyện
prand	cầu nguyện
prank	chơi khăm
prase	bài đọc
prawn	tôm
predy	vui đùa
preed	làm trước
preen	rỉa lông
prees	con mồi
preys	con mồi
prepd	chuẩn bị
prepg	chuẩn bị trước
prepn	chuẩn bị
Press	họp báo
prest	cá tính
preve	làm trước
Price	Giá bán
prich	chích chòe
pricy	quý giá
prick	đâm
Pride	Tự hào
pridy	con trai
pried	cạy
prier	mồi
pryer	cạy phá
prime	xuất sắc
primp	gai góc
prims	mồi
prink	châm chọc
print	in
Prior	Trước
prise	phần thưởng
privy	riêng
prize	phần thưởng
probe	thăm dò
prodd	thần đồng
prods	thần đồng
progs	cầu cứu
promo	quảng cáo
prone	dễ bị
prong	đâm
proof	bằng chứng
propr	người ủng hộ
props	đạo cụ
prose	văn xuôi
prosy	thuận lợi
prost	lạy
Proud	Hãnh diện
prove	chứng tỏ
prowl	rình mò
proxy	Ủy quyền
prune	tỉa cành
prunt	cắt tỉa
psalm	thánh vịnh
pseud	giả danh
pubal	xương mu
pubes	quán rượu
pubic	mu
pudda	vũng nước
puddy	bạn thân
pudge	Pudge
pudgy	béo lùn
puffy	sưng húp
puffs	bánh xốp
puget	làm phiền
puked	nôn mửa
puker	người ăn vạ
pukes	chó đẻ
puled	đập
pulls	kéo
pulpy	bột giấy
pulps	bột giấy
pulse	xung
pumps	máy bơm
Punch	Cú đấm
punct	chấm câu
pungy	hăng
punky	lùn tịt
punny	ngu xuẩn
punty	còi cọc
punts	trò đùa
pupae	nhộng
pupal	con nhộng
pupas	con nhộng
pupil	học sinh
Pupin	Học sinh
puppy	cún yêu
pured	chăm sóc
puree	xay nhuyễn
purey	tinh khiết
purer	tinh khiết hơn
purge	thanh trừng
purls	kim tuyến
purry	rỉ rả
purrs	tiếng gừ gừ
Purse	Cái ví
pursy	hầu bao
purty	nước bọt
puses	xe buýt
pushy	tự đề cao
Pussy	Âm hộ
putid	ngu ngốc
puton	đưa vào
putty	bột bả
putto	đặt vào
quack	lang băm
quaff	cút
Quail	chim cun cút
quays	câu chuyện
quake	động đất
quaky	run rẩy
qualm	chất lượng
Quant	Số lượng
quash	hủy án
Queen	nữ hoàng
queer	người kỳ lạ
quegh	kêu đau
queys	xếp hàng
quell	dập tắt
quelt	yên lặng
query	truy vấn
quest	nhiệm vụ
queue	xếp hàng
Quick	Nhanh
quiet	Yên tĩnh
Quill	lông nhím
quilt	may chăn
quips	châm biếm
quirt	roi da
quite	khá
quits	bỏ cuộc
quods	quod
quoin	chêm
quota	hạn ngạch
quote	Trích dẫn
Quran	Kinh Qur'an
raash	cơn thịnh nộ
Rabbi	Giáo sĩ
rabic	dại dột
rabid	dại dột
raced	chạy đua
racer	tay đua
races	các cuộc đua
racks	giá đỡ
radii	bán kính
RADIO	ĐÀI
radix	cơ số
radly	triệt để
raffe	cà phê
raffs	raff
rafty	thô lỗ
rafts	bè
raged	nổi cơn thịnh nộ
ragee	cơn thịnh nộ
rages	cơn thịnh nộ
raggy	rách rưới
ragis	nho khô
Rahab	Ra-háp
raids	đột kích
rayed	tia sáng
rails	đường ray
rainy	nhiều mưa
Rains	Mưa
raise	nâng lên
raked	cào
rakee	cái cào
raker	người cào
rakes	cào
rakis	nho khô
rally	tập hợp
Ramah	Ra-ma
ramed	hoành hành
ramie	gai
ramps	đường dốc
ranch	trang trại chăn nuôi
rands	mưa gió
Range	Phạm vi
ranks	cấp bậc
ranny	chảy nước miếng
raped	bị hãm hiếp
rapes	hãm hiếp
rapid	nhanh
rared	rạo rực
rarer	hiếm hơn
rares	Hiếm
rased	hoành hành
raser	người ăn cắp
rases	các cuộc tấn công
raspy	rôm rả
rasps	nói rôm rả
rasty	hấp tấp
ratch	vết rách
rated	đánh giá
rater	lên lương
rates	giá
Ratib	Tỷ lệ
ratio	tỉ lệ
ratty	chuột cống
raved	say sưa
raves	mê sảng
rawer	người thô sơ
rawly	thô sơ
raxed	bực bội
razed	san bằng
razes	cơn bão
razor	dao cạo
reach	chạm tới
react	phản ứng
readd	thêm lại
Reade	Phản ứng
Ready	Sẵn sàng
reads	đọc
realm	cảnh giới
reals	thực
reams	doa
reaps	gặt hái
rearm	trang bị lại
rears	hậu phương
reasy	hợp lý
reask	ráp lại
reast	nấu lại
Reave	Phản ứng
rebab	phản đòn
rebag	phản pháo
rebar	thép cây
rebbe	phản đối
rebed	lau sậy
Rebel	Nổi loạn
rebid	trả giá lại
rebop	bật lại
rebox	hộp lại
rebud	phản đối
rebuy	mua lại
rebus	xe buýt
rebut	phản bác lại
recap	tóm tắt lại
recce	rút lại
recip	người nhận
Recit	Đọc thuộc lòng
recpt	đọc lại
recta	trực tràng
recur	tái diễn
recut	rút lại
reded	đỏ
redes	thiết kế lại
redid	màu đỏ
redye	mắt đỏ
redip	làm lại
redly	có màu đỏ
redos	làm lại
redox	oxy hóa khử
redry	làm lại
redue	màu đỏ
Reeds	Lau sậy
reefs	đá ngầm
reeky	nhu mì
reeks	tuần
reels	cuộn
refel	đổ xăng
refer	tham khảo
refit	trang bị lại
refix	sửa lại
refry	nấu lại
regal	Quốc vương
regel	hối hận
REGIS	ĐĂNG KÝ
regle	hối hận
rehab	trại cai nghiện
reify	cụ thể hóa
reign	trị vì
reink	nối lại
reins	dây cương
Reiss	Phát hành lại
reist	tồn tại
rekey	khóa lại
Relay	Chuyển tiếp
relap	tái phát
relax	thư giãn
relic	Thánh tích
relig	tôn giáo
relit	thích thú
Relly	Thật chứ
remap	sửa lại
remen	nhớ lại
Remer	Nhắc nhở
remet	nhớ lại
remex	nhớ lại
remit	nhiệm vụ được giao
remix	phối lại
remop	làm lại
remue	còn sót lại
renal	thận
reneg	gia hạn
renew	thay mới
renky	cáu kỉnh
rente	người cho thuê
rents	tiền thuê nhà
reoil	reo hò
reown	phục hồi
repad	đắp lại
repay	trả lại
repeg	lặp lại
repel	đẩy lùi
repew	lặp lại
reply	Đáp lại
repot	thay chậu
repry	trồng lại
Repub	Đăng lại
rerow	mọc lại
rerub	lau lại
rerun	chạy lại
resay	nói lại
resaw	thay đổi hình dáng
Resee	Gửi lại
reset	cài lại
resew	làm lại
resex	gửi lại
resid	cư xá
resin	nhựa thông
resit	sửa lại
resod	sửa lại
Resor	Người bán lại
resow	cho lại
Reste	Nghỉ ngơi
resty	bồn chồn
restr	người phục vụ
rests	nghỉ ngơi
resue	nghỉ việc
resun	nối lại
resup	sửa lại
retag	đánh dấu lại
retal	nói lại
retar	nói lại
retch	sửa lại
rethe	thử lại
retia	võng mạc
retie	về hưu
retry	thử lại
retro	cổ điển
Reuel	Tiếp nhiên liệu
reune	đoàn tụ
reuse	tái sử dụng
revay	quay lại
revel	vui chơi
rever	hồi âm
revet	kè
revie	hồi sinh
revue	sửa lại
rewax	sáp ong
rewed	làm lại
rfree	miễn phí
rheas	hùng biện
rheen	tu từ
rheic	hùng biện
rhema	hùng biện
rheme	hùng biện
rhyme	vần
rhymy	có vần điệu
rhino	tê giác
rhyta	vần điệu
rhoea	hoa đỗ quyên
rhomb	hình thoi
ribat	sườn
ribby	tồi tàn
Ribes	Gân
ricey	gạo tẻ
ricer	tay đua
rices	cuộc đua
richt	giàu có
rides	cưỡi ngựa
ridge	cây rơm
ridgy	khó hiểu
rifer	người chạy đua
rifle	súng trường
rifty	ngang ngược
rifts	rạn nứt
right	bên phải
rigid	cứng rắn
rigol	giàn lạnh
rigor	sự nghiêm khắc
riled	gợn sóng
rinds	vỏ
ringy	chuông
rings	Nhẫn
rinks	sân trượt
rinse	rửa sạch
riots	cuộc bạo động
riped	xé toạc
ripen	chín
ripes	dây thừng
ripup	xé ra
risen	trỗi dậy
riser	ống đứng
rises	mọc
risky	rủi ro
risks	rủi ro
rites	nghi thức
ritzy	sang trọng
rival	đối thủ
River	dòng sông
rivet	đinh tán
roads	những con đường
roams	đi lang thang
roans	tiếng kêu la
roars	tiếng gầm rú
roast	thịt nướng
robed	áo choàng
robes	áo choàng
roble	lăn lộn
robot	người máy
rocks	đá
Roger	Nghe rõ
rogue	giả mạo
Royal	Hoàng gia
roily	ầm ĩ
rokey	con gà trống
roleo	vai trò
roles	vai trò
rolls	Bánh cuốn
romal	lãng mạn
Romic	Lãng mạn
roods	vỏ bọc
rooed	la hét
roofy	làm thoải mái
roofs	mái nhà
roomy	rộng rãi
rooms	phòng
rooty	gốc rễ
Roots	Rễ
roove	đi lại
ropey	dây thừng
ropes	dây thừng
Rorry	Xe tải
rosal	hoa hồng
rosed	náo loạn
roser	kẻ đánh bại
roses	hoa hồng
rosin	nhựa thông
rotas	thối rữa
rotch	thối rữa
rotes	lễ vật
rotge	thối rữa
rotls	thối rữa
rotor	rôto
rotte	thối rữa
rough	gồ ghề
rouky	khó chịu
round	vòng
roups	nhóm
rouse	đánh thức
roust	ầm ầm
route	tuyến đường
routs	đường đi
roved	lưu động
roven	quay cuồng
roves	lang thang
rovet	đinh tán
rowdy	om sòm
rowed	chèo thuyền
rowel	chèo thuyền
rower	người chèo thuyền
rowet	chèo thuyền
rowte	chèo thuyền
rowth	ồn ào
rowty	ồn ào
rrhea	bệnh rục rịch
ruana	kỳ nhông
rubes	chà xát
Rubin	Cha vao
ruble	đồng rúp
rubor	người xoa bóp
rucky	xui xẻo
rucks	đô la
Ruddy	Hồng hào
ruers	người cai trị
ruffs	xù lông
Rugby	bóng bầu dục
ruggy	thảm
ruins	tàn tích
ruled	cai trị
ruler	cái thước
Rules	Quy tắc
rumen	dạ cỏ
rumly	ầm ầm
Rumor	Tin đồn
rumpy	thô lỗ
runby	chạy qua
runch	run rẩy
runes	rune
rungs	bậc thang
runny	chảy nước mũi
runsy	khô khan
rural	nông thôn
ruses	hối hả
rushy	ồn ào
rusks	hối hả
rusot	chạy nhanh
russe	vội vã
Rusty	Rỉ sét
rusts	rỉ sét
Rutan	Quả chôm chôm
rutch	tiếng hà lan
Saber	Sabre
Sable	Đen
sably	hiền lành
sabot	kẻ phá hoại
SABRE	SABER
Sacks	Bao tải
sacre	thánh tích
sacry	thánh tích
sades	buồn
sadhe	Sadhe
sadic	buồn bã
sadis	Sadis
sadly	thật đáng buồn
safer	an toàn hơn
safes	thật an toàn
sages	hiền nhân
saggy	chảy xệ
saids	đã nói
Sayed	Đã nói
saify	sai lầm
sails	buồm
sayst	người nói
salad	xà lách
sales	doanh số bán hàng
salon	thẩm mỹ viện
salsa	điệu Salsa
salse	nước muối
salty	mặn
salts	muối
salud	lời chào
salve	cứu vớt
salvy	nước muối
samek	giống nhau
samen	giống nhau
sanct	tôn nghiêm
Sands	Cát
sanit	điều dưỡng
Sansk	Tiếng Sansk
Santa	Ông già noel
saple	cây saple
sassy	hỗn láo
satay	sa tế
satin	sa tanh
satis	hài lòng
sauce	Nước xốt
Saucy	Xấc xược
Saudi	Ả-rập Xê-út
Sauks	Nước chấm
sauna	phòng tắm hơi
saury	cá thu đao
saute	áp chảo
saved	lưu lại
savey	tiết kiệm
saver	người tiết kiệm
saves	tiết kiệm
savor	hương thơm
savvy	hiểu
sawed	cưa
sawer	thợ cưa
sawny	có nhiều gai
scabs	vảy cá
scads	cá cóc
scaff	giàn giáo
scags	vảy cá
scald	bỏng nước
scale	tỉ lệ
Scalf	Da đầu
scaly	có vảy
scall	con sò
scalp	da đầu
scalt	bỏng nước
scalx	bỏng nước
SCAME	LỪA ĐẢO
SCAMP	LỪA ĐẢO
scams	lừa đảo
scans	quét
scant	ít ỏi
scape	vật tế thần
scare	sự sợ hãi
scarf	khăn quàng cổ
scary	đáng sợ
scarn	sẹo
scarp	dốc đứng
scars	vết sẹo
scase	cau có
scaul	scul
scaum	cặn bã
scaup	quét rác
scaur	làm sợ hãi
scaut	cái vảy
scawd	đáng sợ
scawl	cái giẻ lau
sceat	quyền trượng
scelp	kêu la
scena	kịch bản
scend	quyền trượng
scene	bối cảnh
scent	hương thơm
Schou	Hội trưởng
Scian	Khoa học viễn tưởng
scind	lừa gạt
scion	cành ghép
Sciot	Khoa học viễn tưởng
sclaw	rau câu
scoad	ăn vạ
scobs	chuồn chuồn
scoff	chế giễu
scoke	mắng mỏ
scold	mắng mỏ
scoon	cái muỗng
scoop	muỗng, xúc
scoot	chuồn đi
scope	phạm vi
score	ghi bàn
scorn	khinh bỉ
scouk	lùng sục
scoup	lùng sục
scour	lùng sục
Scout	Hướng đạo sinh
scove	đi lướt qua
scowl	cau có
scows	quét
scrab	con bọ hung
scrae	bỏ đi
scrag	sự nguệch ngoạc
scray	đánh lạc hướng
SCRAM	LỪA ĐẢO
scrap	sắt vụn
scrat	vết xước
scraw	nguệch ngoạc
scree	sàng lọc
screw	Đinh ốc
scrim	kịch bản
scrip	kịch bản
scrit	vụn vặt
scrog	con lừa
scrow	cau có
scrub	cọ rửa
scrum	cợt nhả
scuff	xô xát
sculk	điêu khắc
sculp	điêu khắc
scult	lừa gạt
scums	đồ cặn bã
scurf	lướt ván
scute	dò xét
seals	con dấu
seamy	ướt át
seams	đường nối
seats	ghế ngồi
seave	đi biển
seavy	nước biển
sebum	bã nhờn
secre	bí mật
sects	giáo phái
sedat	thuốc mê
sedge	cói
sedgy	quyến rũ
Sedum	Thủy bồn thảo
seech	tìm kiếm
seedy	có nhiều hạt
seeds	hạt giống
seege	tìm kiếm
seeks	tìm kiếm
Seely	Nghiêm túc
seems	hình như
seenu	sawu
seepy	thấm
seeps	thấm
seers	tiên kiến
segue	giả mạo
seige	màu be
seise	ngồi yên
seism	địa chấn
seize	nắm bắt
selfs	bản thân
Sells	Bán hàng
semen	tinh dịch
semic	dấu chấm phẩy
semis	bán nguyệt
sends	gửi
sense	ý nghĩa
sepad	lá đài
sepal	đài hoa
sepia	nâu đỏ
sepic	nâu đỏ
septa	vách ngăn
septs	đài hoa
serfs	nông nô
serow	sơn dương
Serra	cái cưa
serum	huyết thanh
serut	con rắn
serve	giao banh
setup	cài đặt
seven	bảy
sever	cắt đứt
sewed	may
Sewel	Ngọc
sewen	may vá
sewer	cống
sexed	quan hệ tình dục
sexes	giới tính
sexly	tình dục
sexts	giới tính
sfree	miễn phí
shack	lán
shade	bóng râm
shady	râm
shads	bóng râm
shaft	trục
shags	tóc giả
shake	lắc
shaky	lung lay
Shaks	Lắc
shale	đá phiến sét
shaly	xấu hổ
shall	nên
shame	xấu hổ
Shang	Thương
Shank	Chân
SHAPE	HÌNH DẠNG
shaps	khuôn hình
shard	mảnh vỡ
share	đăng lại
shark	cá mập
sharn	Sharn
Sharp	Nhọn
shaup	sự lộn xộn
shave	cạo râu
shawy	khăn choàng
shawl	khăn choàng
shawm	khăn choàng
shaws	người cạo râu
sheaf	bó lá
sheal	vỏ bọc
sheat	vỏ bọc
Sheds	Nhà đổ
shedu	đổ ra
sheep	con cừu
sheer	tuyệt đối
sheet	tờ giấy
shelf	cái kệ
Shell	Vỏ bọc
shewn	xẻ thịt
shews	vỏ cây
shyam	nhút nhát
shick	chết tiệt
shide	trốn tránh
shied	xấu hổ
shyer	nhút nhát
shift	sự thay đổi
shilf	quỷ sứ
shily	lém lỉnh
shyly	bẽn lẽn
shill	cò mồi
shims	miếng chêm
shine	chiếu sáng
shiny	sáng bóng
shins	ống chân
ships	tàu thuyền
Shirk	Trốn tránh
shirr	trốn tránh
shirt	áo sơ mi
shish	chết tiệt
shits	khốn nạn
shive	bỏ đi
shivy	rùng mình
shoad	giày dép
shoal	bãi cạn
shock	sốc
shode	đi dạo
shoed	xô đẩy
shoer	người mua sắm
shoes	đôi giày
shogs	giày dép
shole	giày dép
shone	tỏa sáng
shood	bắn súng
shook	rung chuyển
shoop	xô đẩy
shoot	bắn
shops	cửa hàng
Shore	Bờ biển
shorn	rút ngắn
Short	Ngắn
shots	cú đánh
shout	hét lên
shove	xô
showd	trình diễn
showy	sặc sỡ
shown	cho xem
shows	trình diễn
shrab	tiếng kêu réo rắt
shrag	nhún vai
shrap	mảnh vụn
shred	cắt nhỏ
shrew	chuột chù
shrip	réo rắt
shrub	cây bụi
shrug	nhún vai
shuck	xúi quẩy
shuff	xáo trộn
shuln	xa lánh
shuls	rùng mình
shuns	tránh xa
shush	im lặng
Shute	Tắt tiếng
shuts	tắt đi
sybow	ống tiêm
sicko	bệnh hoạn
sicks	bịnh
sicle	vết thương
sided	đứng về phía
sides	hai bên
sidle	đi qua một bên
siege	bao vây
sieve	sàng
sievy	bao vây
sifts	rây
sighs	thở dài
sight	thị giác
sigil	dấu hiệu
Signy	Đáng yêu
signs	dấu hiệu
sikhs	người sikh
silky	mướt
silks	lụa
silly	điên
sills	ngưỡng cửa
silos	hầm chứa
silty	phù sa
silts	lụa
simps	đơn giản
simul	mô phỏng
since	từ
synch	đồng bộ
syncs	đồng bộ
sinew	dây gân
sings	hát
sinky	chìm đắm
sinks	chìm
synod	thượng hội đồng
Sinus	Xoang
siped	nhấm nháp
sired	giống đực
Siren	Còi báo động
sires	đực giống
sirup	thưa ngài
syrup	xi-rô
sises	tiếng ồn ào
sitch	ngồi
sited	ngồi
sites	các trang web
sithe	ngồi
situp	ngôi dậy
sixer	sáu người
sixte	sáute
sixth	thứ sáu
sixty	sáu mươi
sized	có kích thước
sizes	kích thước
skail	trượt băng
skate	giày trượt băng
skats	giày trượt băng
skean	xiên
skeed	xiên
skeeg	xiên
skeel	xiên
skeen	xiên
skeer	xiên
skeet	cái xiên
skegs	xiên
skeif	xiên
skein	con quay
skelf	bản thân
skelp	trượt tuyết
skemp	xiên
skeps	xiên
skere	xiên
skers	người trượt tuyết
skete	trượt băng nghệ thuật
skewy	xiên
skewl	xiên
skews	xiên que
skids	đường trượt
skied	trượt tuyết
skyed	bầu trời
Skier	Người trợt tuyết
skies	bầu trời
skift	nhanh nhẹn
skiis	người trượt tuyết
Skill	Kỹ năng
skime	trượt ván
skimp	thiếu vải
skink	thằn lằn bóng
skins	da
skips	bỏ qua
skirl	kêu
skirp	cái váy
skirt	váy
skite	trượt ván
skits	tiểu phẩm
skive	trượt ván
skiwy	trượt tuyết
skout	trượt băng
skull	đầu lâu
skunk	chồn hôi
skuse	áo choàng
slabs	phiến đá
slags	đồ ăn mòn
slain	bị giết
slays	sự chậm trễ
slait	nô lệ
slake	chém gió
slaky	lười biếng
slams	đóng sầm lại
slang	tiếng lóng
slank	trượt dốc
slant	xiên
slape	cái tát
slaps	tát
slare	nói lảm nhảm
slart	nói xấu
slash	gạch chéo
slate	đá phiến
slath	lời nguyền rủa
slaty	ăn mòn
slats	thanh gỗ
slaum	nô lệ
Slave	Nô lệ
sleck	cái đần độn
sleds	xe trượt tuyết
sleek	trơn
Sleep	Ngủ
sleer	đẹp hơn
sleet	mưa đá
sleys	xe trượt tuyết
Slemp	Mảnh khảnh
slent	nói lảm nhảm
slept	đã ngủ
slete	lém lỉnh
slews	xe trượt tuyết
slice	lát cắt
slich	chất nhờn
slick	bóng bẩy
slide	trượt
slyer	kẻ ranh mãnh
slily	mảnh mai
slyly	ranh mãnh
slime	chất nhờn
slimy	nhầy nhụa
sling	treo lên
slink	lỉnh đi
slipe	làm trơn
slips	trượt
slipt	trượt chân
slirt	ăn vụng
slits	khe hở
slive	vết trượt
sloat	lười biếng
slobs	lười biếng
slock	khóa chặt
sloes	lười biếng
sloid	lười biếng
sloke	lười biếng
sloom	lười biếng
sloot	lười biếng
slope	dốc
slopy	luộm thuộm
slosh	lười biếng
slote	lười biếng
sloth	Sự lười biếng
slots	khe cắm
slour	bùn đất
slows	chậm lại
slued	trì trệ
slugs	sên
sluit	ống cống
Slump	Sụt giảm
slums	khu ổ chuột
slung	trượt
slunk	lười biếng
slurb	khu ổ chuột
slurp	xì xụp
slurs	nói xấu
slush	trầm mặc
sluts	đồ đĩ
smack	đập
Small	Nhỏ
smalt	pha lê xanh
smarm	cười khẩy
Smart	Thông minh
smash	đập vỡ
smaze	hơi men
smear	bôi nhọ
smeek	bôi nhọ
smeer	người bôi bẩn
smell	mùi
smelt	có mùi
smeth	bôi bẩn
smews	bôi nhọ
smile	mỉm cười
smily	mặt cười
SMILS	NỤ CƯỜI
smirk	nhếch mép
smite	đánh lén
Smith	thợ rèn
Smitt	Chuyển tiền
Smock	Khói
smogs	sương khói
Smoke	Khói
smoky	có khói
smook	sương khói
Smoot	Làm mịn
smore	hôi hơn
smote	sương khói
smous	có mùi
smout	sương khói
smurr	người ăn cắp vặt
smuse	hun khói
smush	chảy nước miếng
snaff	khặc khặc
snail	ốc sên
snake	con rắn
snaky	cáu kỉnh
snare	cạm bẫy
snary	lanh lẹ
snarl	tiếng gầm gừ
snash	búng tay
snast	rắn chắc
snead	lén lút
sneak	đánh lén
sneap	quay lén
sneck	đánh lén
Sneed	Quay lén
sneer	chế nhạo
snibs	khịt mũi
snick	khịt mũi
snide	bắn tỉa
snies	bắn tỉa
sniff	bị nghẹt mũi
snift	vết cắt
snigs	khịt mũi
snipe	bắn tỉa
snipy	ăn trộm
snips	ảnh cắt
snirt	khịt mũi
snits	khạc nhổ
snivy	cười khẩy
snobs	kẻ ăn trộm
snock	ngáy
snoek	rình mò
snogs	ngáy khò khò
snoke	rình mò
snood	ngủ ngáy
snoop	rình mò
